start_time,finish_time,duration,rate,SUM,num_id
0,30.54875779,30.5488,1281.519,39148.86763,7
1.178356886,64.11708999,62.9387,495.484,31185.11883,1
8.12873292,55.82886696,47.7001,459.823,21933.60308,2
55.61606193,143.977664,88.3616,44.149,3901.076278,5
69.47562885,112.3897579,42.9141,490.747,21059.96583,1
149.4724829,194.215425,44.7429,1234.485,55234.43891,4
149.9051859,190.2284069,40.3232,1256.07,50648.76182,5
155.2704828,213.5977168,58.3272,1231.26,71815.94827,7
191.3247259,222.199955,30.8752,488.553,15084.17159,6
225.181371,284.8876188,59.7062,427.244,25509.11571,5
227.7137549,319.4264159,91.7127,919.745,84352.29726,7
285.9387839,362.687398,76.7486,1233.924,94701.93951,5
299.8389719,339.3085849,39.4696,1252.462,49434.17416,4
324.879045,405.180285,80.3012,497.136,39920.61736,6
325.309999,435.4189939,110.109,493.221,54308.07109,1
330.4334939,346.416286,15.9828,1214.66,19413.66785,2
344.1008139,353.763098,9.66228,1325.048,12802.98479,7
355.719615,379.5657029,23.8461,1273.498,30367.96066,7
382.668592,401.400878,18.7323,1226.616,22977.3389,5
404.36076,424.5037949,20.143,1266.979,25520.758,7
420.727031,442.2215328,21.4945,1275.107,27407.78741,2
451.7506168,478.3035939,26.553,758.58,20142.57474,4
465.762933,541.2248158,75.4619,495.6,37398.91764,1
469.1395829,580.097652,110.958,1236.555,137205.6697,7
496.7399988,510.0801609,13.3402,1260.406,16814.06812,4
548.3124828,692.1786809,143.866,495.138,71233.52351,1
559.8649268,616.4644358,56.5995,1221.597,69141.7794,5
561.1699929,630.550149,69.3802,1215.822,84353.97352,2
590.9913368,597.5757489,6.58441,1325.723,8729.103778,3
599.1255798,678.186425,79.0608,1229.472,97203.0399,3
611.404346,622.186157,10.7818,677.066,7299.990199,4
620.5218568,621.1305988,0.608742,191.871,116.7999363,5
688.5911219,745.0046358,56.4135,1019.236,57498.67009,5
693.0959768,703.6542318,10.5583,1310.072,13832.1332,7
738.7021229,759.1866989,20.4846,484.802,9930.975049,1
746.697804,807.9710999,61.2733,1236.2,75746.05346,2
747.7733078,749.1154208,1.34211,417.73,560.6396103,5
765.2542579,831.4686928,66.2144,672.848,44552.22661,5
814.4233768,854.3637218,39.9403,1243.901,49681.77911,2
852.1757388,865.2897918,13.1141,491.863,6450.340568,1
874.815424,958.0139089,83.1985,1025.899,85353.25795,5
881.1045179,945.0736609,63.9691,1004.884,64281.52508,7
891.6547289,917.3049119,25.6502,1272.614,32642.80362,3
895.960284,969.4600718,73.4998,1245.916,91574.57682,2
929.7984388,980.6526859,50.8542,1207.176,61389.96974,4
972.6646008,1032.195425,59.5308,489.67,29150.44684,6
973.5614729,1057.495492,83.934,786.578,66020.63785,3
979.179538,1041.318907,62.1394,670.409,41658.81301,5
993.5559158,1050.170473,56.6146,1230.313,69653.67837,4
998.9660008,1014.269191,15.3032,1114.983,17062.80785,7
1062.630299,1081.363186,18.7329,1275.37,23891.37867,7
1070.56519,1246.404288,175.839,492.753,86645.19477,1
1075.098275,1132.343085,57.2448,1232.032,70527.42543,3
1141.382603,1281.426815,140.044,852.512,119389.1905,4
1163.098062,1172.582885,9.48482,1309.458,12419.97343,7
1198.968071,1239.14705,40.179,496.329,19942.00289,6
1217.116738,1301.318736,84.202,1244.547,104793.3465,7
1225.378887,1321.886783,96.5079,1234.565,119145.2756,5
1253.942228,1301.16748,47.2253,501.576,23687.07707,1
1267.293655,1302.184448,34.8908,494.96,17269.55037,6
1334.978441,1482.188189,147.21,483.761,71214.45681,2
1335.19502,1363.319935,28.1249,494.781,13915.66615,1
1362.885932,1379.738092,16.8522,966.558,16288.62873,7
1383.101887,1511.245494,128.144,1230.478,157678.3728,6
1394.668584,1476.316455,81.6479,1237.339,101026.1309,7
1425.019713,1430.306475,5.28676,1374.325,7265.726437,4
1432.714876,1442.246926,9.53205,732.753,6984.638234,3
1461.9733,1465.457796,3.4845,1188.297,4140.620897,5
1480.110432,1494.141794,14.0314,4425.107,62090.44636,7
1487.420893,1557.354155,69.9333,1241.943,86853.1724,2
1492.193184,1501.326343,9.13316,1172.097,10704.94944,3
1496.469307,1520.162048,23.6927,1241.593,29416.69047,7
1498.0882,1714.846674,216.758,673.676,146024.6624,5
1520.910911,1538.430293,17.5194,1293.306,22657.94514,7
1539.180995,1679.328929,140.148,491.589,68895.21517,1
1615.452639,1741.279825,125.827,1234.383,155318.7097,4
1615.540595,1619.509564,3.96897,1284.874,5099.62636,3
1649.197275,1676.351857,27.1546,1262.617,34285.85959,7
1762.369897,1844.697007,82.3271,1211.121,99708.07968,7
1769.111408,1782.393814,13.2824,1284.389,17059.76845,6
1770.19134,2007.298861,237.108,676.045,160295.6779,3
1830.505129,1894.348542,63.8434,1237.02,78975.56267,5
1848.216179,1889.687183,41.471,1222.657,50704.80845,2
1890.309616,1939.3694,49.0598,489.108,23995.54066,6
1932.732888,1940.236963,7.50407,526.093,3947.838699,1
1933.656618,1939.085206,5.42859,201.199,1092.226879,5
1940.430985,2073.753021,133.322,1231.368,164168.4445,7
1945.223578,2376.96092,431.737,164.065,70832.93091,5
1948.101231,1949.042185,0.940954,1166.817,1097.921123,2
1987.59524,2042.337075,54.7418,1169.438,64017.14111,4
2049.790649,2082.222166,32.4315,504.005,16345.63816,1
2102.286402,2260.323893,158.037,495.775,78350.79368,1
2114.994366,2168.215221,53.2209,1252.95,66683.12666,3
2126.829555,2153.674922,26.8454,1210.78,32503.87341,2
2159.667853,2170.378544,10.7107,1229.735,13171.32266,4
2195.414182,2253.171814,57.7576,1239.408,71585.2315,2
2196.669161,2239.159545,42.4904,491.071,20865.80322,6
2239.543187,2251.291208,11.748,1269.392,14912.81722,3
2257.010519,2262.347973,5.33745,1393.953,7440.15444,2
2264.889027,2343.442277,78.5533,1240.432,97440.02703,3
2270.347665,2276.165936,5.81827,1156.302,6727.677238,2
2280.198034,2284.234094,4.03606,457.238,1845.440002,6
2286.980529,2360.154537,73.174,495.299,36243.00903,6
2287.801918,2513.457401,225.655,736.942,166294.647,2
2331.075236,2464.420686,133.345,497.692,66364.73974,1
2360.271622,2376.075253,15.8036,1187.359,18764.54669,7
2376.497369,2416.383667,39.8863,1242.358,49553.0639,7
2455.32537,2524.617077,69.2917,1223.034,84746.10502,7
2481.540559,2512.157403,30.6168,489.166,14976.69759,1
2504.593499,2522.065042,17.4715,1217.024,21263.23482,5
2509.04157,2544.344636,35.3031,1237.695,43694.47035,3
2528.536032,2569.191381,40.6553,498.42,20263.41463,6
2529.468456,2638.363666,108.895,489.966,53354.84757,1
2540.660161,2563.035212,22.3751,1217.115,27233.06984,4
2562.976349,2644.527561,81.5512,499.418,40728.1372,2
2582.101688,2606.187577,24.0859,1114.88,26852.88819,3
2641.015207,2656.542552,15.5273,1249.33,19398.72171,3
2643.45241,2686.309591,42.8572,1254.843,53779.05742,7
2645.892063,2778.42023,132.528,736.047,97546.83682,4
2651.332186,2690.363113,39.0309,490.502,19144.73451,1
2657.4253,2664.613344,7.18804,1303.762,9371.493406,5
2689.514921,2723.372056,33.8571,838.769,28398.28591,3
2708.627341,2712.157913,3.53057,569.018,2008.95788,1
2740.717603,2757.326886,16.6093,1288.499,21401.06644,2
2744.643518,2845.329994,100.686,493.377,49676.15662,6
2818.151388,2826.723369,8.57198,1154.104,9892.956406,7
